date;count;unique;total
1554681600;1;1;1
1554768000;1;1;2
1555286400;2;2;4
1555372800;2;2;6
1555891200;2;2;8
1555977600;2;2;10
1556496000;1;1;11
1556582400;1;1;12
1557100800;1;1;13
1557187200;1;1;14
1557705600;18;2;16
1557792000;18;2;18
1560124800;1;1;19
1560211200;1;1;20
1560729600;1;1;21
1560816000;1;1;22
1561420800;1;1;23
1561939200;0;0;23
1562025600;0;0;23
1562544000;0;0;23
1563148800;0;0;23
1563753600;0;0;23
1563840000;0;0;23
1564358400;1;1;24
1564444800;1;1;25
1564963200;1;1;26
1565049600;1;1;27
1565568000;0;0;27
1566172800;0;0;27
1566259200;1;1;28
1566777600;2;2;30
1566864000;2;2;32
1567382400;4;4;36
1567987200;1;1;37
1568592000;0;0;37
1569196800;2;2;39
1569801600;2;2;41
1570406400;0;0;41
1571011200;0;0;41
1571097600;0;0;41
1571616000;0;0;41
1572220800;1;1;42
1572307200;1;1;43
1572825600;2;2;45
1573430400;3;3;48
1573516800;3;3;51
1574035200;2;2;53
1574640000;0;0;53
1574726400;0;0;53
1575244800;0;0;53
1575331200;0;0;53
1575849600;0;0;53
1575936000;0;0;53
